condition,strategy,snr_db,probe_evm_percent,probe_ber,packet_error_rate,probe_pilot_error_percent,estimated_channel_magnitude,selected_modulation,average_ber,success_rate,delivered_bits_per_frame,true_channel_magnitude,interference_present,interference_to_signal_db,interference_bin
0,fixed_qpsk,5.368044410263085,63.93556789620966,0.04375,1.0,43.75204529879537,1.2917295837780798,QPSK,0.05416666666666667,0.0,0.0,1.3516523529826319,1,-21.12706664225872,21
0,rule_based,5.368044410263085,63.93556789620966,0.04375,1.0,43.75204529879537,1.2917295837780798,QPSK,0.05416666666666667,0.0,0.0,1.3516523529826319,1,-21.12706664225872,21
0,ml_based,5.368044410263085,63.93556789620966,0.04375,1.0,43.75204529879537,1.2917295837780798,QPSK,0.05416666666666667,0.0,0.0,1.3516523529826319,1,-21.12706664225872,21
1,fixed_qpsk,14.707013470657472,21.275311004735613,0.0,0.0,16.203218659609917,0.8338926093283678,QPSK,0.0,1.0,120.0,0.8449799068476123,0,,-1
1,rule_based,14.707013470657472,21.275311004735613,0.0,0.0,16.203218659609917,0.8338926093283678,16QAM,0.009375000000000001,0.625,150.0,0.8449799068476123,0,,-1
1,ml_based,14.707013470657472,21.275311004735613,0.0,0.0,16.203218659609917,0.8338926093283678,QPSK,0.0,1.0,120.0,0.8449799068476123,0,,-1
2,fixed_qpsk,0.4981398814171045,149.24309098764928,0.21458333333333335,1.0,80.69622547884431,0.5306196145328191,QPSK,0.165625,0.0,0.0,0.7102886975886186,0,,-1
2,rule_based,0.4981398814171045,149.24309098764928,0.21458333333333335,1.0,80.69622547884431,0.5306196145328191,QPSK,0.165625,0.0,0.0,0.7102886975886186,0,,-1
2,ml_based,0.4981398814171045,149.24309098764928,0.21458333333333335,1.0,80.69622547884431,0.5306196145328191,QPSK,0.165625,0.0,0.0,0.7102886975886186,0,,-1
3,fixed_qpsk,19.158271066050823,25.017120038742505,0.008333333333333333,0.75,8.649900515000255,0.8931942179961343,QPSK,0.009375000000000001,0.625,75.0,0.8912684902142848,1,-13.338667635411875,18
3,rule_based,19.158271066050823,25.017120038742505,0.008333333333333333,0.75,8.649900515000255,0.8931942179961343,16QAM,0.008854166666666666,0.75,180.0,0.8912684902142848,1,-13.338667635411875,18
3,ml_based,19.158271066050823,25.017120038742505,0.008333333333333333,0.75,8.649900515000255,0.8931942179961343,16QAM,0.008854166666666666,0.75,180.0,0.8912684902142848,1,-13.338667635411875,18
4,fixed_qpsk,28.346601051054627,3.986271630264148,0.0,0.0,3.6270038369685484,0.42330319736006244,QPSK,0.0,1.0,120.0,0.42513781289100994,0,,-1
4,rule_based,28.346601051054627,3.986271630264148,0.0,0.0,3.6270038369685484,0.42330319736006244,64QAM,0.0,1.0,360.0,0.42513781289100994,0,,-1
4,ml_based,28.346601051054627,3.986271630264148,0.0,0.0,3.6270038369685484,0.42330319736006244,64QAM,0.0,1.0,360.0,0.42513781289100994,0,,-1
5,fixed_qpsk,1.842833203384061,186.2722125700908,0.12499999999999999,1.0,56.96140706302172,0.7602815686971593,QPSK,0.13958333333333334,0.0,0.0,0.8255977690978151,1,-25.564664768638156,30
5,rule_based,1.842833203384061,186.2722125700908,0.12499999999999999,1.0,56.96140706302172,0.7602815686971593,QPSK,0.13958333333333334,0.0,0.0,0.8255977690978151,1,-25.564664768638156,30
5,ml_based,1.842833203384061,186.2722125700908,0.12499999999999999,1.0,56.96140706302172,0.7602815686971593,QPSK,0.13958333333333334,0.0,0.0,0.8255977690978151,1,-25.564664768638156,30
6,fixed_qpsk,9.728039287937145,39.551485808504495,0.008333333333333333,0.5,24.417861001698103,1.070089303903781,QPSK,0.00625,0.75,90.0,1.1028634544735467,1,-18.92796111228235,-22
6,rule_based,9.728039287937145,39.551485808504495,0.008333333333333333,0.5,24.417861001698103,1.070089303903781,QPSK,0.00625,0.75,90.0,1.1028634544735467,1,-18.92796111228235,-22
6,ml_based,9.728039287937145,39.551485808504495,0.008333333333333333,0.5,24.417861001698103,1.070089303903781,QPSK,0.00625,0.75,90.0,1.1028634544735467,1,-18.92796111228235,-22
7,fixed_qpsk,26.00747308693044,7.774670830217784,0.0,0.0,4.573156451719885,0.9477000480577384,QPSK,0.0,1.0,120.0,0.9626224812894351,1,-27.132249846235403,20
7,rule_based,26.00747308693044,7.774670830217784,0.0,0.0,4.573156451719885,0.9477000480577384,64QAM,0.005208333333333334,1.0,360.0,0.9626224812894351,1,-27.132249846235403,20
7,ml_based,26.00747308693044,7.774670830217784,0.0,0.0,4.573156451719885,0.9477000480577384,64QAM,0.005208333333333334,1.0,360.0,0.9626224812894351,1,-27.132249846235403,20
8,fixed_qpsk,10.827793888230598,52.04367989777233,0.008333333333333333,0.5,20.551571873315094,1.0303057212099398,QPSK,0.0125,0.5,60.0,0.9881321004602845,1,-6.510543117459862,-30
8,rule_based,10.827793888230598,52.04367989777233,0.008333333333333333,0.5,20.551571873315094,1.0303057212099398,QPSK,0.0125,0.5,60.0,0.9881321004602845,1,-6.510543117459862,-30
8,ml_based,10.827793888230598,52.04367989777233,0.008333333333333333,0.5,20.551571873315094,1.0303057212099398,QPSK,0.0125,0.5,60.0,0.9881321004602845,1,-6.510543117459862,-30
9,fixed_qpsk,25.38800601147785,29.18478717344126,0.0,0.0,42.1861872875669,0.4849790144358025,QPSK,0.0,1.0,120.0,0.431128300620872,1,-16.43322291384807,-21
9,rule_based,25.38800601147785,29.18478717344126,0.0,0.0,42.1861872875669,0.4849790144358025,64QAM,0.15659722222222222,0.0,0.0,0.431128300620872,1,-16.43322291384807,-21
9,ml_based,25.38800601147785,29.18478717344126,0.0,0.0,42.1861872875669,0.4849790144358025,64QAM,0.15659722222222222,0.0,0.0,0.431128300620872,1,-16.43322291384807,-21
10,fixed_qpsk,2.4586149652580094,90.26204222376194,0.14583333333333331,1.0,49.64830360771066,1.4766235143438402,QPSK,0.12916666666666665,0.0,0.0,1.2630870818266728,1,-5.505743313024837,-25
10,rule_based,2.4586149652580094,90.26204222376194,0.14583333333333331,1.0,49.64830360771066,1.4766235143438402,QPSK,0.12916666666666665,0.0,0.0,1.2630870818266728,1,-5.505743313024837,-25
10,ml_based,2.4586149652580094,90.26204222376194,0.14583333333333331,1.0,49.64830360771066,1.4766235143438402,QPSK,0.12916666666666665,0.0,0.0,1.2630870818266728,1,-5.505743313024837,-25
11,fixed_qpsk,0.9294042588854712,66.9415130900197,0.12083333333333333,1.0,48.026201883462576,1.5252374798801225,QPSK,0.14375,0.0,0.0,1.0162360269399242,1,-14.034156640420491,7
11,rule_based,0.9294042588854712,66.9415130900197,0.12083333333333333,1.0,48.026201883462576,1.5252374798801225,QPSK,0.14375,0.0,0.0,1.0162360269399242,1,-14.034156640420491,7
11,ml_based,0.9294042588854712,66.9415130900197,0.12083333333333333,1.0,48.026201883462576,1.5252374798801225,QPSK,0.14375,0.0,0.0,1.0162360269399242,1,-14.034156640420491,7
12,fixed_qpsk,13.516248178009183,22.71795870859593,0.0,0.0,16.934357532851276,0.4833889950391845,QPSK,0.0,1.0,120.0,0.4875330687136971,0,,-1
12,rule_based,13.516248178009183,22.71795870859593,0.0,0.0,16.934357532851276,0.4833889950391845,16QAM,0.015625,0.375,90.0,0.4875330687136971,0,,-1
12,ml_based,13.516248178009183,22.71795870859593,0.0,0.0,16.934357532851276,0.4833889950391845,QPSK,0.0,1.0,120.0,0.4875330687136971,0,,-1
13,fixed_qpsk,15.635148983424841,22.259757616264558,0.00625,0.75,10.733005694717804,0.8979591546703191,QPSK,0.00625,1.0,120.0,0.8625939402184722,1,-17.845048722412773,17
13,rule_based,15.635148983424841,22.259757616264558,0.00625,0.75,10.733005694717804,0.8979591546703191,16QAM,0.016666666666666666,0.375,90.0,0.8625939402184722,1,-17.845048722412773,17
13,ml_based,15.635148983424841,22.259757616264558,0.00625,0.75,10.733005694717804,0.8979591546703191,QPSK,0.00625,1.0,120.0,0.8625939402184722,1,-17.845048722412773,17
14,fixed_qpsk,7.973329429047312,43.83317876110405,0.004166666666666667,0.5,26.473271692427893,1.5517800869150205,QPSK,0.014583333333333334,0.375,45.0,1.4822460683806045,1,-22.962328612811206,0
14,rule_based,7.973329429047312,43.83317876110405,0.004166666666666667,0.5,26.473271692427893,1.5517800869150205,QPSK,0.014583333333333334,0.375,45.0,1.4822460683806045,1,-22.962328612811206,0
14,ml_based,7.973329429047312,43.83317876110405,0.004166666666666667,0.5,26.473271692427893,1.5517800869150205,QPSK,0.014583333333333334,0.375,45.0,1.4822460683806045,1,-22.962328612811206,0
15,fixed_qpsk,14.73367855983389,33.605317793803586,0.0020833333333333333,0.25,11.314116242085246,0.8915019150793837,QPSK,0.0020833333333333333,1.0,120.0,0.9141574188803535,1,-13.055494503542606,24
15,rule_based,14.73367855983389,33.605317793803586,0.0020833333333333333,0.25,11.314116242085246,0.8915019150793837,16QAM,0.016145833333333335,0.25,60.0,0.9141574188803535,1,-13.055494503542606,24
15,ml_based,14.73367855983389,33.605317793803586,0.0020833333333333333,0.25,11.314116242085246,0.8915019150793837,QPSK,0.0020833333333333333,1.0,120.0,0.9141574188803535,1,-13.055494503542606,24
16,fixed_qpsk,21.86283793300808,23.155181231937217,0.0125,1.0,7.1500858394960565,0.705158059423477,QPSK,0.0125,0.5,60.0,0.6880279230867284,1,-13.43286020484574,15
16,rule_based,21.86283793300808,23.155181231937217,0.0125,1.0,7.1500858394960565,0.705158059423477,64QAM,0.011458333333333334,0.125,45.0,0.6880279230867284,1,-13.43286020484574,15
16,ml_based,21.86283793300808,23.155181231937217,0.0125,1.0,7.1500858394960565,0.705158059423477,64QAM,0.011458333333333334,0.125,45.0,0.6880279230867284,1,-13.43286020484574,15
17,fixed_qpsk,25.92594893482435,5.338083876681074,0.0,0.0,3.5617130870894638,0.48056910611364767,QPSK,0.0,1.0,120.0,0.4792926775531306,0,,-1
17,rule_based,25.92594893482435,5.338083876681074,0.0,0.0,3.5617130870894638,0.48056910611364767,64QAM,0.0,1.0,360.0,0.4792926775531306,0,,-1
17,ml_based,25.92594893482435,5.338083876681074,0.0,0.0,3.5617130870894638,0.48056910611364767,64QAM,0.0,1.0,360.0,0.4792926775531306,0,,-1
18,fixed_qpsk,10.255625475173055,38.14008091431358,0.00625,0.5,21.251901263087863,1.387892689170953,QPSK,0.011458333333333334,0.625,75.0,1.3564698230578895,1,-15.075903563060454,-26
18,rule_based,10.255625475173055,38.14008091431358,0.00625,0.5,21.251901263087863,1.387892689170953,QPSK,0.011458333333333334,0.625,75.0,1.3564698230578895,1,-15.075903563060454,-26
18,ml_based,10.255625475173055,38.14008091431358,0.00625,0.5,21.251901263087863,1.387892689170953,QPSK,0.011458333333333334,0.625,75.0,1.3564698230578895,1,-15.075903563060454,-26
19,fixed_qpsk,5.272461041913898,71.91499293372728,0.041666666666666664,1.0,41.11688823608944,0.9275002870150536,QPSK,0.065625,0.125,15.0,1.0309665445778762,1,-24.217443185818027,1
19,rule_based,5.272461041913898,71.91499293372728,0.041666666666666664,1.0,41.11688823608944,0.9275002870150536,QPSK,0.065625,0.125,15.0,1.0309665445778762,1,-24.217443185818027,1
19,ml_based,5.272461041913898,71.91499293372728,0.041666666666666664,1.0,41.11688823608944,0.9275002870150536,QPSK,0.065625,0.125,15.0,1.0309665445778762,1,-24.217443185818027,1
20,fixed_qpsk,20.820559194611075,10.126788948697502,0.0,0.0,7.811989596924298,0.8285845687560314,QPSK,0.0,1.0,120.0,0.8230957655633249,0,,-1
20,rule_based,20.820559194611075,10.126788948697502,0.0,0.0,7.811989596924298,0.8285845687560314,64QAM,0.007638888888888889,0.75,270.0,0.8230957655633249,0,,-1
20,ml_based,20.820559194611075,10.126788948697502,0.0,0.0,7.811989596924298,0.8285845687560314,16QAM,0.0,1.0,240.0,0.8230957655633249,0,,-1
21,fixed_qpsk,11.113459217518836,30.254310394257768,0.0,0.0,15.934029918367996,1.2943199906316092,QPSK,0.0010416666666666667,1.0,120.0,1.2462841853342521,0,,-1
21,rule_based,11.113459217518836,30.254310394257768,0.0,0.0,15.934029918367996,1.2943199906316092,QPSK,0.0010416666666666667,1.0,120.0,1.2462841853342521,0,,-1
