condition,strategy,snr_db,probe_evm_percent,probe_ber,packet_error_rate,selected_modulation,average_ber,success_rate,delivered_bits_per_frame
0,fixed_qpsk,5.368044410263085,52.55250020802891,0.015625,0.6666666666666666,QPSK,0.0265625,0.0,0.0
0,rule_based,5.368044410263085,52.55250020802891,0.015625,0.6666666666666666,QPSK,0.0265625,0.0,0.0
0,ml_based,5.368044410263085,52.55250020802891,0.015625,0.6666666666666666,QPSK,0.0265625,0.0,0.0
1,fixed_qpsk,19.197394971454635,11.423666575150149,0.0,0.0,QPSK,0.0,1.0,128.0
1,rule_based,19.197394971454635,11.423666575150149,0.0,0.0,16QAM,0.0,1.0,256.0
1,ml_based,19.197394971454635,11.423666575150149,0.0,0.0,16QAM,0.0,1.0,256.0
2,fixed_qpsk,14.018052034304553,20.14807024097205,0.0,0.0,QPSK,0.0,1.0,128.0
2,rule_based,14.018052034304553,20.14807024097205,0.0,0.0,16QAM,0.00625,0.8,204.8
2,ml_based,14.018052034304553,20.14807024097205,0.0,0.0,16QAM,0.00625,0.8,204.8
3,fixed_qpsk,11.115015813241442,26.864881471928427,0.0,0.0,QPSK,0.0,1.0,128.0
3,rule_based,11.115015813241442,26.864881471928427,0.0,0.0,QPSK,0.0,1.0,128.0
3,ml_based,11.115015813241442,26.864881471928427,0.0,0.0,QPSK,0.0,1.0,128.0
4,fixed_qpsk,10.647520029289536,28.774403054539054,0.0,0.0,QPSK,0.0,1.0,128.0
4,rule_based,10.647520029289536,28.774403054539054,0.0,0.0,QPSK,0.0,1.0,128.0
4,ml_based,10.647520029289536,28.774403054539054,0.0,0.0,QPSK,0.0,1.0,128.0
5,fixed_qpsk,23.71554737559795,6.437897552604295,0.0,0.0,QPSK,0.0,1.0,128.0
5,rule_based,23.71554737559795,6.437897552604295,0.0,0.0,64QAM,0.0,1.0,384.0
5,ml_based,23.71554737559795,6.437897552604295,0.0,0.0,64QAM,0.0,1.0,384.0
6,fixed_qpsk,27.154315100315216,4.39741065971768,0.0,0.0,QPSK,0.0,1.0,128.0
6,rule_based,27.154315100315216,4.39741065971768,0.0,0.0,64QAM,0.0,1.0,384.0
6,ml_based,27.154315100315216,4.39741065971768,0.0,0.0,64QAM,0.0,1.0,384.0
7,fixed_qpsk,5.3205957546914595,54.750379631699616,0.036458333333333336,1.0,QPSK,0.046875,0.0,0.0
7,rule_based,5.3205957546914595,54.750379631699616,0.036458333333333336,1.0,QPSK,0.046875,0.0,0.0
7,ml_based,5.3205957546914595,54.750379631699616,0.036458333333333336,1.0,QPSK,0.046875,0.0,0.0
8,fixed_qpsk,19.58354408055396,10.827491648473812,0.0,0.0,QPSK,0.0,1.0,128.0
8,rule_based,19.58354408055396,10.827491648473812,0.0,0.0,16QAM,0.0,1.0,256.0
8,ml_based,19.58354408055396,10.827491648473812,0.0,0.0,16QAM,0.0,1.0,256.0
9,fixed_qpsk,8.949083020667079,33.741826839716246,0.0026041666666666665,0.3333333333333333,QPSK,0.003125,1.0,128.0
