modulation,snr_db,bits_per_symbol,bits_per_ofdm_symbol,ber,evm_percent
QPSK,0,2,128,0.1571875,99.35176446196107
QPSK,2,2,128,0.10140625,78.9468732821324
QPSK,4,2,128,0.0558984375,62.70656232477364
QPSK,6,2,128,0.0232421875,49.51710763392085
QPSK,8,2,128,0.00546875,39.4728412146912
QPSK,10,2,128,0.000625,31.38842472203741
QPSK,12,2,128,0.0,25.253472583272707
QPSK,15,2,128,0.0,17.69266441085974
QPSK,20,2,128,0.0,9.951210017179031
QPSK,25,2,128,0.0,5.572238460849677
QPSK,30,2,128,0.0,3.1696660726959114
16QAM,0,4,256,0.2879296875,99.90234026886125
16QAM,2,4,256,0.2364453125,78.78556679486718
16QAM,4,4,256,0.1897265625,62.878482229198084
16QAM,6,4,256,0.1414453125,50.10413320597178
16QAM,8,4,256,0.09564453125,39.541390180012826
16QAM,10,4,256,0.0578515625,31.537815415160274
16QAM,12,4,256,0.0275390625,25.090013274610833
16QAM,15,4,256,0.0047265625,17.62263638962579
16QAM,20,4,256,0.0,9.991831280580788
16QAM,25,4,256,0.0,5.5891180016575
16QAM,30,4,256,0.0,3.1395604863035547
64QAM,0,6,384,0.35984375,100.25340067021713
64QAM,2,6,384,0.32450520833333335,79.12818341336506
64QAM,4,6,384,0.28486979166666665,63.18518099817626
64QAM,6,6,384,0.2402734375,50.23477848501676
64QAM,8,6,384,0.19536458333333334,40.09690758870542
64QAM,10,6,384,0.15125,31.343985676392215
64QAM,12,6,384,0.11424479166666666,25.131901708909027
64QAM,15,6,384,0.06337239583333333,17.706754662511752
64QAM,20,6,384,0.008151041666666666,9.951129399071611
64QAM,25,6,384,1.3020833333333334e-05,5.608018050974467
64QAM,30,6,384,0.0,3.1617591590081364
